,Item_Identifier,Outlet_Identifier,Outles_Sales
0,FDW58,OUT049,4058.176430452622
1,FDW14,OUT017,572.4498616910994
2,NCN55,OUT010,2369.870365887491
3,FDQ58,OUT017,1021.2404365150514
4,FDY38,OUT027,901.8751183468842
5,FDH56,OUT046,624.3156450199076
6,FDL48,OUT018,1040.7303989163092
7,FDC48,OUT027,3173.5565825935305
8,FDN33,OUT045,1607.8788619286017
9,FDA36,OUT017,3155.3526177199124
10,FDT44,OUT017,865.4176050494073
11,FDQ56,OUT045,2344.953782233876
12,NCC54,OUT019,2452.8904208723534
13,FDU11,OUT049,1964.7863686348874
14,DRL59,OUT013,3145.919105449235
15,FDM24,OUT049,978.9726306289906
16,FDI57,OUT045,1563.7535547660639
17,DRC12,OUT018,1045.1032916008862
18,NCM42,OUT027,3263.607926816076
19,FDA46,OUT010,3688.9661007316245
20,FDA31,OUT013,4016.332448280239
21,NCJ31,OUT035,3807.6701923563546
22,FDG52,OUT046,3147.7961744257677
23,NCL19,OUT019,-153.35435236631565
24,FDS10,OUT035,2677.3262965395725
25,FDX22,OUT010,879.6412579952012
26,NCF19,OUT035,811.4878107469202
27,NCE06,OUT046,686.0118545672083
28,DRC27,OUT046,-1118.2084813996319
29,FDE21,OUT035,-1112.8292780294598
30,NCR42,OUT019,-1007.8804448386654
31,FDX51,OUT018,1249.4270396831075
32,NCR06,OUT018,3773.813021666377
33,FDU31,OUT027,1494.5157019553485
34,FDU59,OUT017,2754.483008152346
35,FDR03,OUT027,2408.0861818338476
36,FDS49,OUT027,3545.7417176534477
37,FDD48,OUT010,1705.338711933788
38,NCF18,OUT017,2113.739422533382
39,NCD43,OUT027,2883.1249281428495
40,NCD54,OUT018,3640.6056451003656
41,FDY19,OUT010,2062.532831682407
42,NCY54,OUT017,3147.1978505875436
43,NCL19,OUT018,3823.4234336518193
44,FDP23,OUT010,2106.238089427253
45,FDC26,OUT013,912.9364066838584
46,FDR14,OUT010,2401.37105184313
47,NCS41,OUT035,4186.899667914813
48,FDF41,OUT035,1029.649433240963
49,FDU34,OUT046,1230.1594305910064
50,DRH11,OUT046,2273.073106294092
51,FDM03,OUT013,2273.411615043355
52,FDS31,OUT017,1963.3808790135902
53,FDJ20,OUT017,3259.00601511671
54,FDV44,OUT027,2539.2345343052884
55,FDG02,OUT049,3674.609461356856
56,FDA09,OUT013,1678.309575178258
57,FDT04,OUT013,733.1537847482593
58,FDL58,OUT019,3061.277536558265
59,FDE52,OUT045,971.6816702672743
60,FDW12,OUT035,3626.6536621248692
61,FDL51,OUT017,1457.1815942833623
62,NCY42,OUT027,2118.6057772305858
63,FDR07,OUT017,-1015.1064542945894
64,FDN40,OUT045,5501.182254173442
65,FDB35,OUT027,996.8715434522937
66,FDA22,OUT017,2799.5601789097936
67,NCL06,OUT046,2980.9381550900343
68,FDI35,OUT013,2600.0356668359273
69,NCW42,OUT045,1507.4923639685692
70,NCX06,OUT049,2738.5110503791307
71,FDC37,OUT027,1039.063437748181
72,FDZ14,OUT018,2608.7576418381714
73,DRG49,OUT049,3167.664273813573
74,NCG06,OUT045,4054.718978961274
75,DRC36,OUT045,1886.8455507505187
76,FDV21,OUT019,2846.7454914073455
77,FDB53,OUT046,-441.8453135989039
78,DRP47,OUT019,1821.1248675984225
79,FDA14,OUT013,3514.754311099867
80,DRC24,OUT035,1649.4461643325335
81,FDW21,OUT018,2919.433978264434
82,NCH29,OUT046,2703.3240737542806
83,FDU58,OUT013,1117.0907718706635
84,FDY27,OUT017,4226.174858412017
85,FDV56,OUT035,2981.657920314589
86,FDT59,OUT046,2628.130379989471
87,FDB23,OUT046,3984.5437540565367
88,FDR49,OUT045,1579.427035744985
89,FDB03,OUT010,1984.111260303139
90,FDN39,OUT045,54.00646689821656
91,FDX02,OUT027,754.2665195378115
92,FDQ16,OUT027,893.6070250637931
93,FDU35,OUT018,1009.9972489122044
94,NCT29,OUT013,1875.1131913468303
95,FDZ27,OUT046,49.729559139571165
96,FDN57,OUT017,3971.775163731757
97,FDA03,OUT018,3067.982992348647
98,FDZ36,OUT045,3824.5761457418325
99,NCU05,OUT013,3024.2926553809502
100,FDT39,OUT018,2399.965983156099
101,FDK60,OUT017,4334.285513999991
102,FDZ25,OUT017,2976.178869226599
103,FDG12,OUT046,725.3951232157817
104,DRB01,OUT019,3087.7788543549186
105,NCC43,OUT027,2331.0353454370975
106,FDX13,OUT019,2660.023051236746
107,FDM22,OUT049,1979.4884766408586
108,FDJ03,OUT027,1602.5148244988088
109,FDU14,OUT018,724.5439570067732
110,FDB33,OUT010,3675.302397690311
111,FDP27,OUT046,1803.1916887259565
112,FDO38,OUT010,963.3282252647389
113,FDE28,OUT027,3403.3648026527076
114,FDO27,OUT035,2785.8322345675315
115,DRL23,OUT027,3888.523959743129
116,FDS28,OUT046,3213.470550596335
117,FDX24,OUT013,1808.5971969867376
118,FDZ02,OUT035,2374.3993170071026
119,FDL46,OUT045,3323.8246314832472
120,FDS60,OUT027,919.2387060485815
121,NCO06,OUT017,2499.732523940963
122,FDO16,OUT035,-396.6955134339871
123,FDC60,OUT049,3117.8959888627655
124,FDA48,OUT018,1181.5898267751106
125,FDZ36,OUT027,1598.689914237161
126,FDK27,OUT045,1297.9839892007515
127,FDW23,OUT018,1011.4497489708594
128,FDM14,OUT018,2433.204692178734
129,FDM14,OUT013,650.5037665376202
130,FDW60,OUT018,4328.470733650828
131,FDE21,OUT013,2524.112063984103
132,NCM42,OUT035,4957.106955916786
133,FDY59,OUT010,-251.1544703823174
134,DRI49,OUT049,2732.4429028631844
135,FDT28,OUT019,1837.9335319251536
136,FDQ22,OUT018,4086.8016164841106
137,FDR60,OUT049,1000.8670349398694
138,FDC50,OUT019,1621.9658517071218
139,FDV24,OUT013,177.92831017050298
140,DRF48,OUT010,2500.357953541855
141,FDQ47,OUT046,1815.635734126944
142,DRN36,OUT049,1657.7202418398704
143,NCY06,OUT035,2899.9260613289803
144,FDE52,OUT035,974.6327689546561
145,NCB54,OUT045,3994.5488613688867
146,NCF31,OUT035,3639.5610474086375
147,FDJ08,OUT027,2575.8689890187484
148,NCC07,OUT017,2858.7855860514646
149,NCD19,OUT027,1911.193762543488
150,FDL46,OUT049,947.8105049737794
151,FDM20,OUT045,2346.3952015920586
152,NCI06,OUT010,2897.8911219306397
153,DRM11,OUT035,1985.8413189341534
154,NCH07,OUT018,3588.0064100582917
155,FDS23,OUT013,3243.3380434472574
156,FDO49,OUT018,1890.0611446457676
157,FDS35,OUT049,1732.3445050785556
158,DRK39,OUT045,2384.8708006255156
159,DRI39,OUT049,2537.839463207585
160,FDV04,OUT017,988.833213041152
161,NCN14,OUT035,3017.64351988725
162,FDH08,OUT013,3255.160167969373
163,FDS20,OUT046,1822.57854510181
164,FDV40,OUT049,3436.6401345353443
165,FDZ48,OUT010,3852.7183909503397
166,FDS24,OUT027,3585.7826954963048
167,FDK44,OUT049,1775.2306230946774
168,FDS48,OUT045,4585.29571128061
169,FDK26,OUT010,751.0509239239823
170,FDD23,OUT045,2656.117561340196
171,NCH54,OUT017,2880.060090300062
172,NCP14,OUT010,2490.9972310607536
173,FDM60,OUT010,2919.6755724629893
174,FDV24,OUT017,-110.53126279736125
175,FDH08,OUT018,1198.8345958867224
176,FDS12,OUT027,1532.184046291126
177,FDR39,OUT027,-616.5069242143818
178,FDP12,OUT027,-1180.965121174952
179,DRF60,OUT027,2474.8183186939514
180,FDC09,OUT035,3934.641676666549
181,FDF50,OUT018,3146.4803113974
182,FDG28,OUT035,-38.483187842620055
183,NCE19,OUT017,1889.136426560085
184,NCM53,OUT010,5084.724242660106
185,NCN18,OUT049,1385.9211921667077
186,FDF32,OUT035,782.5264870595054
187,FDF11,OUT013,2166.385595617221
188,DRI59,OUT049,2894.1967927965184
189,NCG54,OUT035,1450.6454898275856
190,FDM44,OUT046,1758.1148034281914
191,FDT57,OUT018,4320.052573927145
192,FDV24,OUT046,2648.072055302265
193,FDI50,OUT019,572.0853917014381
194,FDS09,OUT035,4335.28075972861
195,NCC31,OUT027,652.1055313435385
196,FDQ07,OUT019,838.2055350804309
197,FDC22,OUT017,3846.456256738272
198,FDZ56,OUT046,2522.8994266277796
199,FDZ40,OUT019,5163.5037583056
200,FDS46,OUT027,1648.444039072826
201,DRD24,OUT045,2679.4053619426127
202,FDV45,OUT017,2230.5258231437706
203,FDL26,OUT045,4276.896835269901
204,FDA56,OUT018,3839.686756282333
205,FDN27,OUT046,-534.5518921348723
206,FDM20,OUT049,868.589952912815
207,FDO16,OUT017,2978.865799589701
208,FDL03,OUT035,-116.50553553727968
209,FDE58,OUT046,-1253.6582065860707
210,FDI02,OUT027,605.4026868810179
211,NCC55,OUT019,3909.6291418844417
212,FDR03,OUT018,4349.7818637992095
213,FDB14,OUT017,1520.5513586396105
214,FDR45,OUT013,634.8676334297147
215,NCN07,OUT017,199.80385772199247
216,FDM51,OUT019,237.62265661984497
217,FDT52,OUT027,2223.3282984923508
218,FDL26,OUT046,2568.432193824247
219,NCZ42,OUT046,731.2459949755953
220,DRI47,OUT019,1010.2931452631019
221,FDW40,OUT013,1609.9002499953608
222,FDN34,OUT046,668.5666373155453
223,FDS01,OUT035,2101.8787408928197
224,NCG55,OUT045,2589.0043581630134
225,FDC11,OUT035,1450.0429434954178
226,FDX35,OUT018,2028.8618399808602
227,NCB06,OUT046,522.9003228317838
228,FDR09,OUT019,1352.1698182759978
229,FDC53,OUT017,4333.73364475812
230,FDY45,OUT013,4073.7695848364433
231,FDA22,OUT010,4187.481765365466
232,FDE02,OUT035,1379.14791146963
233,FDW21,OUT045,2492.1890960633705
234,FDV34,OUT046,730.3182008701903
235,FDS59,OUT049,4500.31502177081
236,NCW17,OUT017,54.065759145582206
237,NCK54,OUT046,1579.3335799662063
238,FDG17,OUT019,3208.5988208433537
239,FDG35,OUT017,2728.178342537649
240,FDD08,OUT010,3918.974334518368
241,NCO07,OUT017,846.4980966039823
242,FDJ10,OUT010,3072.233500913338
243,FDW36,OUT017,3783.2707626940883
244,FDW21,OUT010,3651.876125138242
245,FDY19,OUT017,4000.967880926802
246,DRE03,OUT013,2890.735471142999
247,NCC55,OUT049,2696.352928592635
248,FDH52,OUT010,1340.3746547520598
249,FDO09,OUT017,4293.06956126702
250,FDU43,OUT045,519.4275049550979
251,FDX09,OUT010,1515.8679010194076
252,FDH40,OUT019,1110.9406736222522
253,FDW58,OUT017,2086.4037470565263
254,FDC47,OUT017,2741.2282342342437
255,NCR41,OUT035,-1203.0216171766695
256,DRG49,OUT035,992.1713181792483
257,FDC52,OUT027,1546.480303527579
258,FDY13,OUT046,1810.6038276831152
259,FDY35,OUT013,2163.43380593897
260,FDI35,OUT017,3657.699563172825
261,NCU18,OUT049,1581.8742996703577
262,FDY33,OUT018,4082.752176488389
263,FDC15,OUT027,3672.1598263668443
264,FDU01,OUT049,2791.950380896041
265,NCU42,OUT046,3093.15670043127
266,NCV29,OUT018,765.2831798403616
267,NCY30,OUT017,1431.6721631070998
268,FDQ46,OUT049,776.4495572963807
269,FDG58,OUT027,2874.822620662122
270,FDK33,OUT017,2109.398644122235
271,NCD07,OUT045,4130.54425169653
272,NCX29,OUT027,1418.9164490091262
273,NCT42,OUT013,4229.895737427737
274,DRN59,OUT035,1487.6691636150188
275,FDI44,OUT035,4213.134950616666
276,FDA45,OUT049,4077.3455595708165
277,FDP31,OUT045,1957.2445821699914
278,FDY01,OUT046,2062.4715876416694
279,FDT09,OUT018,3479.5272246695454
280,DRH03,OUT027,1439.1062766682276
281,FDA36,OUT018,3995.0768339910715
282,NCF31,OUT017,3061.688343282344
283,FDG14,OUT049,2571.5046142620226
284,FDG28,OUT027,1102.4825721471343
285,FDU14,OUT049,2518.8471441261872
286,FDY47,OUT019,437.9429018912235
287,FDI56,OUT049,467.7962727627778
288,DRD01,OUT013,3614.9810204351093
289,FDM22,OUT046,1604.9949411963441
290,FDH33,OUT013,1800.3922508734438
291,DRZ24,OUT013,4261.498703722673
292,NCQ38,OUT046,3137.0414102722557
293,FDO16,OUT027,2009.1876518485583
294,FDU07,OUT027,4593.186349302454
295,NCB07,OUT013,1635.7696982105429
296,FDU48,OUT045,871.7275359910011
297,NCM43,OUT045,2232.324292249682
298,FDR31,OUT010,1491.5202219887412
299,DRK49,OUT018,1613.8875785882328
300,NCI30,OUT010,2929.2506552308478
301,DRD60,OUT017,150.05179315652026
302,NCG19,OUT046,2690.6481716612016
303,FDH12,OUT035,1221.1689495046721
304,FDM32,OUT035,3513.120236159055
305,FDM27,OUT035,4064.7263738759852
306,NCU53,OUT027,3787.6505387253565
307,NCQ18,OUT046,1310.7516631606325
308,FDS10,OUT013,1513.3226246805111
309,FDB33,OUT027,3758.2050949837335
310,FDI12,OUT013,3171.4000172452575
311,NCW42,OUT013,1023.1685263700886
312,NCC06,OUT018,1478.1232130653173
313,FDW02,OUT017,2496.6015184594153
314,NCD43,OUT017,1886.9494502615717
315,FDM57,OUT018,1844.101084549497
316,FDA58,OUT017,2362.7015471330715
317,FDK56,OUT046,1716.5313559713516
318,FDP52,OUT045,2327.6246659890276
319,FDW20,OUT018,3797.8374091610435
320,FDS52,OUT049,3404.3027603984624
321,NCT29,OUT018,3670.371504455552
322,NCL54,OUT013,1161.498388050764
323,FDC05,OUT045,2590.2134224940223
324,FDF34,OUT035,1769.614428152854
325,FDP03,OUT027,1129.2873584186564
326,FDD32,OUT010,2665.990626122203
327,FDZ10,OUT045,1677.4324307997874
328,FDZ40,OUT035,3515.8522155208407
329,FDD51,OUT018,3425.1415594924188
330,NCY30,OUT019,1252.1024317959127
331,FDP58,OUT017,3970.053931692647
332,FDV49,OUT017,4109.78947838215
333,FDY24,OUT019,5148.321079422509
334,NCO55,OUT017,-666.6912800997939
335,FDR13,OUT017,3575.3409248608314
336,FDS51,OUT017,1616.1286211199354
337,FDP26,OUT045,3534.1334787169194
338,NCB54,OUT027,2159.7730749291295
339,FDF32,OUT017,1863.4373874336513
340,FDN31,OUT018,4123.876932162542
341,DRM48,OUT017,1502.3903301214623
342,FDN20,OUT049,2786.165874532301
343,DRL01,OUT046,2842.156047387677
344,FDV56,OUT049,1134.4066607598652
345,DRH13,OUT027,1056.2294821218009
346,FDA03,OUT017,1206.3946548451222
347,FDF47,OUT027,2973.0949835361307
348,FDX32,OUT046,3198.0297305200993
349,FDX57,OUT049,2600.8305432518264
350,NCA30,OUT045,1441.47670546601
351,FDO49,OUT013,4142.340677617065
352,FDL04,OUT019,3760.3289842344984
353,DRM48,OUT035,2761.0853401159384
354,FDR16,OUT013,1060.8974315848038
355,NCC19,OUT018,2310.2733660207527
356,NCE42,OUT045,2277.8967074495554
357,FDY24,OUT017,4136.053688868267
358,FDH19,OUT049,1342.1071180118208
359,FDJ46,OUT013,3021.0493035750815
360,FDN45,OUT010,2556.864709647406
361,FDY08,OUT035,1871.4149382067505
362,FDZ37,OUT035,1318.9433199979283
363,NCT30,OUT045,1053.9547899672639
364,DRY23,OUT018,990.9199534216325
365,NCZ30,OUT018,3370.8201702096276
366,FDC44,OUT018,4141.4847469961005
367,FDB45,OUT035,1933.866523595628
